,id,name,pos,evenTimeOnIce,evenPoints
117,8479944.0,Zach Aston-Reese,C,701:41,12.0
118,8480945.0,Juuso Riikola,D,455:26,5.0
119,8465009.0,Zdeno Chara,D,1209:06,14.0
120,8470638.0,Patrice Bergeron,C,816:58,35.0
121,8471276.0,David Krejci,C,931:41,29.0
122,8473419.0,Brad Marchand,L,992:09,56.0
123,8475186.0,John Moore,D,347:07,3.0
124,8475745.0,Charlie Coyle,C,981:21,30.0
125,8475780.0,Chris Wagner,R,730:31,9.0
126,8475807.0,Joakim Nordstrom,C,486:19,7.0
127,8476374.0,Sean Kuraly,C,803:06,21.0
128,8476792.0,Torey Krug,D,1007:03,21.0
129,8476891.0,Matt Grzelcyk,D,1053:48,13.0
130,8477365.0,Connor Clifton,D,430:22,2.0
131,8477941.0,Nick Ritchie,L,600:24,18.0
132,8477956.0,David Pastrnak,R,1063:23,57.0
133,8478075.0,Anders Bjork,L,701:09,18.0
134,8478131.0,Ondrej Kase,R,778:31,21.0
135,8478443.0,Brandon Carlo,D,1160:09,19.0
136,8478468.0,Jeremy Lauzon,D,259:15,2.0
137,8478485.0,Zach Senyshyn,R,33:43,2.0
138,8478498.0,Jake DeBrusk,L,876:26,25.0
139,8479325.0,Charlie McAvoy,D,1339:47,29.0
140,8479365.0,Trent Frederic,C,12:51,0.0
141,8480001.0,Urho Vaakanainen,D,76:29,0.0
142,8480021.0,Jack Studnicka,C,22:11,1.0
143,8480901.0,Karson Kuhlman,C,294:22,5.0
144,8480944.0,Par Lindholm,C,380:59,6.0
145,8471743.0,Vladimir Sobotka,C,201:30,3.0
146,8479420.0,Tage Thompson,R,06:59,0.0
147,8473449.0,Kyle Okposo,R,627:48,18.0
148,8473564.0,Michael Frolik,R,630:14,11.0
149,8474190.0,Wayne Simmonds,R,838:13,16.0
150,8475149.0,Marcus Johansson,L,861:33,24.0
151,8475728.0,Johan Larsson,C,794:14,18.0
152,8475784.0,Jeff Skinner,L,826:21,20.0
153,8476525.0,Colin Miller,D,788:52,8.0
154,8476878.0,Zemgus Girgensons,C,801:38,18.0
155,8476918.0,Jimmy Vesey,L,798:16,18.0
156,8476931.0,Jake McCabe,D,1069:29,12.0
157,8477499.0,Rasmus Ristolainen,D,1257:10,23.0
158,8477508.0,Curtis Lazar,C,381:20,9.0
159,8477933.0,Sam Reinhart,C,1181:00,38.0
160,8477986.0,Brandon Montour,D,955:05,16.0
161,8478109.0,Victor Olofsson,L,806:24,25.0
162,8478403.0,Jack Eichel,C,1220:10,50.0
163,8480035.0,Henri Jokiharju,D,1099:47,13.0
164,8480839.0,Rasmus Dahlin,D,934:32,21.0
165,8480935.0,Lawrence Pilut,D,191:01,0.0
166,8480946.0,Dominik Kahun,C,684:30,29.0
167,8470642.0,Shea Weber,D,1209:39,28.0
168,8473507.0,Jeff Petry,D,1360:02,27.0
169,8474038.0,Paul Byron,L,357:43,9.0
170,8474668.0,Dale Weise,R,204:38,5.0
171,8475193.0,Tomas Tatar,L,957:27,47.0
172,8475279.0,Ben Chiarot,D,1367:13,21.0
173,8475738.0,Jordan Weal,C,570:15,10.0
174,8475848.0,Brendan Gallagher,R,875:09,38.0
175,8476443.0,Xavier Ouellet,D,155:25,2.0
176,8476469.0,Joel Armia,R,788:32,22.0
177,8476479.0,Phillip Danault,C,1048:41,43.0
178,8476948.0,Charles Hudon,L,157:14,2.0
179,8476967.0,Brett Kulak,D,944:41,7.0
180,8477467.0,Gustav Olofsson,D,24:19,0.0
181,8477476.0,Artturi Lehkonen,L,898:07,26.0
182,8477494.0,Jonathan Drouin,L,358:35,11.0
183,8477503.0,Max Domi,C,1047:41,33.0
184,8477850.0,Christian Folin,D,221:55,2.0
185,8478133.0,Jake Evans,C,120:52,3.0
186,8479376.0,Victor Mete,D,780:36,10.0
187,8479985.0,Cale Fleury,D,556:16,1.0
188,8480018.0,Nick Suzuki,C,960:02,27.0
189,8480068.0,Ryan Poehling,C,256:23,2.0
190,8480829.0,Jesperi Kotkaniemi,C,405:31,6.0
191,8468493.0,Ron Hainsey,D,1099:41,9.0
192,8471676.0,Bobby Ryan,R,264:45,8.0
193,8473573.0,Artem Anisimov,C,590:00,14.0
194,8474571.0,Mikkel Boedker,L,168:51,3.0
195,8474697.0,Mark Borowiecki,D,822:20,17.0
196,8476285.0,Matthew Peca,C,137:44,2.0
197,8476422.0,Mike Reilly,D,706:38,6.0
198,8476919.0,Chris Tierney,C,988:37,30.0
