,id,name,pos,evenTimeOnIce,evenPoints
511,8474091.0,Brandon Sutter,C,511:07,14.0
512,8474291.0,Jay Beagle,C,522:12,6.0
513,8474574.0,Tyler Myers,D,1263:33,13.0
514,8474818.0,Jordie Benn,D,612:11,7.0
515,8474849.0,Antoine Roussel,L,431:17,11.0
516,8475690.0,Christopher Tanev,D,1107:42,18.0
517,8475726.0,Tyler Toffoli,R,936:21,34.0
518,8475907.0,Micheal Ferland,L,124:45,5.0
519,8476344.0,Tyler Graovac,C,44:05,0.0
520,8476468.0,J.T. Miller,C,1078:13,45.0
521,8476871.0,Tanner Pearson,L,956:31,32.0
522,8477353.0,Tyler Motte,C,377:15,8.0
523,8477473.0,Justin Bailey,R,10:39,0.0
524,8477500.0,Bo Horvat,C,1078:03,37.0
525,8477937.0,Jake Virtanen,R,840:32,27.0
526,8478444.0,Brock Boeser,R,822:29,31.0
527,8478874.0,Adam Gaudette,C,641:20,21.0
528,8479442.0,Troy Stecher,D,1017:03,17.0
529,8479772.0,Zack MacEwen,C,162:23,6.0
530,8480012.0,Elias Pettersson,C,994:28,42.0
531,8480147.0,Oscar Fantenberg,D,526:22,5.0
532,8480800.0,Quinn Hughes,D,1226:20,28.0
533,8470612.0,Ryan Getzlaf,C,1075:33,33.0
534,8470655.0,David Backes,R,198:08,5.0
535,8474584.0,Michael Del Zotto,D,809:42,14.0
536,8474641.0,Adam Henrique,C,992:40,34.0
537,8475164.0,Jakob Silfverberg,R,900:09,30.0
538,8475235.0,Nicolas Deslauriers,L,572:29,13.0
539,8475461.0,Andrew Agozzino,L,150:26,3.0
540,8475625.0,Matt Irwin,D,485:38,3.0
541,8475764.0,Cam Fowler,D,1106:17,21.0
542,8475790.0,Erik Gudbranson,D,876:36,8.0
543,8476312.0,Josh Manson,D,900:37,8.0
544,8476483.0,Rickard Rakell,L,984:22,30.0
545,8476854.0,Hampus Lindholm,D,1022:32,13.0
546,8477043.0,Christian Djoos,D,172:39,2.0
547,8477240.0,Carter Rowney,C,735:52,15.0
548,8477947.0,Sonny Milano,L,652:43,20.0
549,8478046.0,Danton Heinen,L,815:52,20.0
550,8478491.0,Jacob Larsson,D,904:07,11.0
551,8479351.0,Sam Steel,C,876:31,14.0
552,8479368.0,Max Jones,L,770:49,10.0
553,8471392.0,Roman Polak,D,568:40,4.0
554,8470621.0,Corey Perry,R,659:37,14.0
555,8470794.0,Joe Pavelski,C,904:52,19.0
556,8471228.0,Alexander Radulov,R,852:06,24.0
557,8471260.0,Blake Comeau,L,699:43,14.0
558,8471284.0,Andrej Sekera,D,895:22,7.0
559,8471699.0,Andrew Cogliano,C,741:53,14.0
560,8473994.0,Jamie Benn,L,949:37,25.0
561,8475413.0,Justin Dowling,C,279:46,6.0
562,8475730.0,Stephen Johns,D,287:58,5.0
563,8475794.0,Tyler Seguin,C,1095:38,35.0
564,8475906.0,John Klingberg,D,1120:31,15.0
565,8476166.0,Taylor Fedun,D,358:18,9.0
566,8476467.0,Jamie Oleksiak,D,1051:57,10.0
567,8476889.0,Radek Faksa,C,855:48,17.0
568,8476902.0,Esa Lindell,D,1276:26,13.0
569,8477406.0,Mattias Janmark,C,766:04,14.0
570,8477450.0,Jason Dickinson,C,828:32,20.0
571,8478449.0,Roope Hintz,L,747:00,17.0
572,8478495.0,Denis Gurianov,R,709:46,17.0
573,8480036.0,Miro Heiskanen,D,1319:35,28.0
574,8481641.0,Joel Kiviranta,L,115:49,1.0
575,8470604.0,Jeff Carter,C,823:13,22.0
576,8470606.0,Dustin Brown,R,1005:02,30.0
577,8471685.0,Anze Kopitar,C,1145:39,40.0
578,8473453.0,Trevor Lewis,C,616:16,12.0
579,8474563.0,Drew Doughty,D,1380:20,20.0
580,8476924.0,Martin Frk,R,210:06,7.0
581,8476947.0,Nikolai Prokhorkin,L,494:22,11.0
582,8477018.0,Ben Hutton,D,1086:51,16.0
583,8477046.0,Joakim Ryan,D,610:05,5.0
584,8477073.0,Kurtis MacDermid,D,565:30,7.0
585,8477960.0,Adrian Kempe,C,870:34,18.0
586,8478020.0,Michael Amadio,C,778:06,13.0
587,8478455.0,Austin Wagner,L,756:00,11.0
588,8478911.0,Matt Roy,D,1166:16,17.0
589,8479675.0,Trevor Moore,C,457:49,9.0
590,8479998.0,Mikey Anderson,D,100:12,1.0
591,8480014.0,Gabriel Vilardi,C,114:04,5.0
592,8480113.0,Alex Iafallo,L,1050:08,34.0
593,8480336.0,Sean Walker,D,1175:54,19.0
594,8481481.0,Blake Lizotte,C,768:52,17.0
595,8474578.0,Erik Karlsson,D,1060:50,26.0
596,8474774.0,Dalton Prout,D,24:46,0.0
597,8476881.0,Tomas Hertl,C,691:47,27.0
598,8466138.0,Joe Thornton,C,939:20,23.0
599,8470613.0,Brent Burns,D,1411:56,27.0
600,8471709.0,Marc-Edouard Vlasic,D,1206:04,14.0
601,8474053.0,Logan Couture,C,732:25,28.0
602,8475169.0,Evander Kane,L,989:27,27.0
603,8475834.0,Marcus Sorensen,L,801:40,17.0
604,8475841.0,Tim Heed,D,457:20,4.0
605,8475869.0,Brandon Davidson,D,146:46,0.0
606,8476474.0,Stefan Noesen,R,433:12,8.0
607,8477922.0,Melker Karlsson,C,616:09,12.0
608,8478099.0,Kevin Labanc,R,953:20,24.0
609,8478136.0,Jacob Middleton,D,100:05,2.0
610,8478414.0,Timo Meier,R,1013:38,40.0
611,8479393.0,Noah Gregor,C,271:51,3.0
612,8479580.0,Dylan Gambrell,C,516:28,10.0
613,8479983.0,Mario Ferraro,D,904:09,10.0
614,8480160.0,Radim Simek,D,741:41,9.0
615,8480384.0,Alexander True,C,115:51,4.0
616,8480965.0,Antti Suomela,C,187:23,7.0
617,8481516.0,Joel Kellman,C,330:42,6.0
618,8481640.0,Lean Bergmann,C,98:05,1.0
619,8476981.0,Josh Anderson,R,330:01,4.0
620,8481650.0,Jakob Lilja,L,361:37,5.0
621,8471804.0,Nathan Gerbe,C,391:21,10.0
622,8473422.0,Nick Foligno,L,1022:30,26.0
623,8474062.0,Riley Nash,C,686:25,13.0
624,8474679.0,Gustav Nyquist,C,1035:49,32.0
625,8474715.0,Cam Atkinson,R,615:22,18.0
626,8475233.0,David Savard,D,1267:25,9.0
627,8476432.0,Boone Jenner,C,1017:54,19.0
628,8476449.0,Scott Harrington,D,518:57,8.0
629,8476850.0,Ryan Murray,D,460:25,7.0
630,8476870.0,Stefan Matteau,C,108:21,3.0
631,8476913.0,Devin Shore,C,494:19,10.0
632,8477416.0,Oliver Bjorkstrand,R,757:04,30.0
633,8477495.0,Seth Jones,D,1136:11,20.0
634,8477505.0,Alexander Wennberg,C,747:30,17.0
635,8478460.0,Zach Werenski,D,1214:24,27.0
636,8478506.0,Gabriel Carlsson,D,61:34,0.0
637,8478567.0,Dean Kukan,D,497:41,4.0
638,8478831.0,Kevin Stenlund,C,384:51,5.0
639,8478882.0,Vladislav Gavrikov,D,1203:18,18.0
640,8478906.0,Markus Nutivaara,D,576:26,8.0
641,8479369.0,Andrew Peeke,D,299:29,3.0
642,8479400.0,Pierre-Luc Dubois,C,1061:05,39.0
643,8480074.0,Alexandre Texier,C,437:34,12.0
644,8480205.0,Emil Bemstrom,C,611:25,12.0
645,8480762.0,Eric Robinson,L,545:53,12.0
646,8480853.0,Liam Foudy,C,28:26,1.0
647,8469459.0,Mikko Koivu,C,675:23,13.0
648,8470595.0,Eric Staal,C,934:56,33.0
649,8470600.0,Ryan Suter,D,1333:03,30.0
650,8470610.0,Zach Parise,L,933:47,27.0
651,8474716.0,Jared Spurgeon,D,1094:17,19.0
652,8475220.0,Marcus Foligno,L,751:27,25.0
653,8475692.0,Mats Zuccarello,R,874:49,30.0
654,8476437.0,Victor Rask,C,438:51,13.0
655,8476463.0,Jonas Brodin,D,1319:03,25.0
656,8476779.0,Brad Hunt,D,756:30,9.0
657,8476851.0,Alex Galchenyuk,C,627:14,17.0
658,8476856.0,Matt Dumba,D,1292:46,15.0
659,8477366.0,Luke Johnson,C,31:40,0.0
660,8477369.0,Carson Soucy,D,794:44,13.0
661,8477451.0,Ryan Hartman,R,765:05,19.0
662,8477942.0,Kevin Fiala,L,831:22,36.0
663,8477987.0,Ryan Donato,C,613:56,21.0
664,8478413.0,Jordan Greenway,L,869:24,25.0
665,8478493.0,Joel Eriksson Ek,C,846:21,27.0
666,8479316.0,Luke Kunin,C,836:53,28.0
667,8479734.0,Brennan Menell,D,64:26,0.0
668,8479933.0,Gerald Mayhew,C,133:16,2.0
669,8481477.0,Nico Sturm,C,68:22,2.0
670,8473412.0,Bryan Little,C,92:45,5.0
671,8471218.0,Blake Wheeler,R,1093:59,41.0
672,8473618.0,Mathieu Perreault,L,571:22,13.0
673,8473914.0,Mark Letestu,C,66:11,0.0
674,8474579.0,Luca Sbisa,D,701:36,10.0
675,8475179.0,Dmitry Kulikov,D,944:51,10.0
676,8475236.0,Cody Eakin,C,601:32,14.0
677,8475268.0,Gabriel Bourque,L,429:29,6.0
678,8475868.0,Anthony Bitetto,D,658:57,7.0
679,8476331.0,Dylan DeMelo,D,1008:39,8.0
680,8476392.0,Adam Lowry,C,613:00,8.0
681,8476400.0,Logan Shaw,R,233:02,4.0
682,8476406.0,Nicholas Shore,C,488:08,6.0
683,8476460.0,Mark Scheifele,C,1295:46,53.0
684,8476470.0,Nathan Beaulieu,D,556:52,8.0
685,8477359.0,Tucker Poolman,D,943:48,15.0
686,8477429.0,Andrew Copp,C,896:32,22.0
687,8477472.0,Carl Dahlstrom,D,205:24,1.0
688,8477504.0,Josh Morrissey,D,1304:21,19.0
689,8477940.0,Nikolaj Ehlers,L,1076:45,52.0
690,8478398.0,Kyle Connor,L,1188:56,54.0
691,8478424.0,Jansen Harkins,C,305:59,7.0
692,8478458.0,Jack Roslovic,C,964:44,27.0
693,8478891.0,Mason Appleton,C,465:22,7.0
694,8478915.0,Sami Niku,D,265:39,5.0
695,8479339.0,Patrik Laine,R,1100:19,47.0
696,8480145.0,Neal Pionk,D,1388:12,20.0
697,8481019.0,David Gustafsson,C,133:57,1.0
698,8470755.0,Brad Richardson,C,651:41,9.0
699,8471262.0,Carl Soderberg,C,897:05,24.0
700,8471274.0,Alex Goligoski,D,1313:51,21.0
701,8471769.0,Niklas Hjalmarsson,D,433:59,4.0
702,8473546.0,Michael Grabner,L,462:36,10.0
703,8473548.0,Phil Kessel,R,976:46,21.0
704,8474218.0,Jason Demers,D,902:52,10.0
705,8474613.0,Derek Stepan,C,978:28,20.0
706,8475171.0,Oliver Ekman-Larsson,D,1205:45,22.0
707,8475791.0,Taylor Hall,L,1007:45,34.0
708,8476994.0,Vinnie Hinostroza,R,832:53,20.0
709,8477851.0,Jordan Oesterle,D,891:23,11.0
710,8477951.0,Nick Schmaltz,C,929:22,32.0
711,8477989.0,Christian Dvorak,C,957:05,28.0
712,8478432.0,Christian Fischer,R,611:44,9.0
713,8478474.0,Lawson Crouse,L,801:16,24.0
714,8478856.0,Conor Garland,R,819:20,29.0
715,8479343.0,Clayton Keller,R,950:29,29.0
716,8479345.0,Jakob Chychrun,D,1180:14,18.0
717,8480849.0,Barrett Hayton,C,216:41,4.0
718,8480950.0,Ilya Lyubushkin,D,715:08,4.0
719,8475204.0,Brandon Pirri,C,172:53,2.0
720,8468674.0,Deryk Engelland,D,691:45,5.0
721,8471669.0,Paul Stastny,C,973:50,27.0
722,8471817.0,Ryan Reaves,R,702:50,15.0
723,8474157.0,Max Pacioretty,L,1095:41,47.0
724,8474166.0,Alec Martinez,D,940:48,12.0
725,8474207.0,Nick Holden,D,1030:04,12.0
726,8475188.0,Brayden McNabb,D,1197:22,8.0
727,8475191.0,Reilly Smith,R,1000:56,45.0
728,8475750.0,Jon Merrill,D,811:23,6.0
729,8475913.0,Mark Stone,R,973:10,45.0
730,8476393.0,Nick Cousins,C,774:01,20.0
731,8476448.0,William Karlsson,C,944:19,33.0
732,8476539.0,Jonathan Marchessault,C,993:30,35.0
733,8476905.0,Chandler Stephenson,C,808:56,21.0
734,8477220.0,Nate Schmidt,D,1123:21,24.0
735,8477447.0,Shea Theodore,D,1348:20,29.0
736,8477478.0,William Carrier,L,693:21,19.0
737,8477931.0,Tomas Nosek,L,687:08,14.0
738,8477949.0,Alex Tuch,R,535:13,10.0
739,8478462.0,Nicolas Roy,C,302:08,9.0
740,8480727.0,Zach Whitecloud,D,213:02,1.0
